State,MMR.Cover.Rate,MMR.Uncover.Rate
Alabama,0.897,0.103
Alaska,0.905,0.095
Arizona,0.914,0.086
Arkansas,0.883,0.117
California,0.907,0.093
Colorado,0.86,0.14
Connecticut,0.914,0.086
Delaware,0.948,0.052
Dist. of Columbia,0.962,0.038
Florida,0.934,0.066
Georgia,0.939,0.061
Hawaii,0.928,0.072
Idaho,0.911,0.089
Illinois,0.914,0.086
Indiana,0.92,0.08
Iowa,0.945,0.055
Kansas,0.894,0.106
Kentucky,0.895,0.105
Louisiana,0.881,0.119
Maine,0.91,0.09
Maryland,0.953,0.047
Massachusetts,0.958,0.042
Michigan,0.892,0.108
Minnesota,0.908,0.092
Mississippi,0.952,0.048
Missouri,0.898,0.102
Montana,0.873,0.127
Nebraska,0.925,0.075
Nevada,0.904,0.096
New Hampshire,0.963,0.037
New Jersey,0.956,0.044
New Mexico,0.891,0.109
New York,0.955,0.045
North Carolina,0.96,0.04
North Dakota,0.914,0.086
Ohio,0.86,0.14
Oklahoma,0.898,0.102
Oregon,0.894,0.106
Pennsylvania,0.933,0.067
Rhode Island,0.956,0.044
South Carolina,0.892,0.108
South Dakota,0.931,0.069
Tennessee,0.923,0.077
Texas,0.927,0.073
Utah,0.926,0.074
Vermont,0.912,0.088
Virginia,0.886,0.114
Washington,0.935,0.065
West Virginia,0.86,0.14
Wisconsin,0.932,0.068
Wyoming,0.89,0.11
