year,Cal.Autism.Cases,Cal.Population,Per10K,DSM,MMR.Coverage
1980,497.3,23667902,0.210115793,DSM III,
1981,807.5,24277113.9,0.332617791,DSM III,
1982,1117.7,24886325.8,0.449122144,DSM III,
1983,1427.9,25495537.7,0.56005879,DSM III,
1984,1738.1,26104749.6,0.665817534,DSM III,
1985,2048.3,26713961.5,0.766752621,DSM III,
1986,2358.5,27323173.4,0.863186704,DSM III,
1987,2701,27932385.3,0.966977926,DSM III R,
1988,2944,28541597.2,1.031476963,DSM III R,
1989,3262,29150809.1,1.119008391,DSM III R,
1990,3629,29760021,1.219421183,DSM III R,
1991,4026,30369232.9,1.325683798,DSM III R,
1992,4446,30978444.8,1.435191479,DSM III R,
1993,4825,31587656.7,1.52749539,DSM III R,
1994,5446,32196868.6,1.691468841,DSM IV,
1995,6179,32806080.5,1.8834923,DSM IV,9.03
1996,7005,33415292.4,2.096345564,DSM IV,9.07
1997,8179,34024504.3,2.403855741,DSM IV,8.88
1998,9587,34633716.2,2.768111844,DSM IV,9.12
1999,11233,35242928.1,3.187306108,DSM IV,9.28
2000,13054,33871648,3.853960693,DSM IV TR,9.08
2001,15441,34480859.9,4.478136579,DSM IV TR,9.13
2002,18460,35090071.8,5.260747286,DSM IV TR,9.04
2003,22040,35699283.7,6.173793341,DSM IV TR,9.28
2004,25020,36308495.6,6.890949236,DSM IV TR,9.31
2005,28046,36917707.5,7.596896422,DSM IV TR,9.16
2006,31012,37526919.4,8.263934396,DSM IV TR,9.28
2007,34656,38136131.3,9.087445113,DSM IV TR,9.46
2008,37522,38745343.2,9.684260585,DSM IV TR,9.27
2009,40644.4,39354555.1,10.32774984,DSM IV TR,8.98
2010,43766.8,37253956,11.74822883,DSM IV TR,9.14
