County,County Code,Delivery Method,Delivery Method Code,Births
Baldwin County AL,1003,Vaginal,1,1505
Baldwin County AL,1003,Cesarean,2,622
Baldwin County AL,1003,Not Stated,9,33
Calhoun County AL,1015,Vaginal,1,925
Calhoun County AL,1015,Cesarean,2,417
Etowah County AL,1055,Vaginal,1,790
Etowah County AL,1055,Cesarean,2,363
Etowah County AL,1055,Not Stated,9,29
Jefferson County AL,1073,Vaginal,1,5492
Jefferson County AL,1073,Cesarean,2,3118
Jefferson County AL,1073,Not Stated,9,30
Lee County AL,1081,Vaginal,1,1306
Lee County AL,1081,Cesarean,2,548
Madison County AL,1089,Vaginal,1,2580
Madison County AL,1089,Cesarean,2,1522
Mobile County AL,1097,Vaginal,1,3427
Mobile County AL,1097,Cesarean,2,2096
Mobile County AL,1097,Not Stated,9,55
Montgomery County AL,1101,Vaginal,1,2021
Montgomery County AL,1101,Cesarean,2,1092
Montgomery County AL,1101,Not Stated,9,53
Morgan County AL,1103,Vaginal,1,920
Morgan County AL,1103,Cesarean,2,488
Shelby County AL,1117,Vaginal,1,1477
Shelby County AL,1117,Cesarean,2,845
Tuscaloosa County AL,1125,Vaginal,1,1551
Tuscaloosa County AL,1125,Cesarean,2,862
Unidentified Counties AL,1999,Vaginal,1,15077
Unidentified Counties AL,1999,Cesarean,2,8717
Unidentified Counties AL,1999,Not Stated,9,176
Anchorage Borough AK,2020,Vaginal,1,3432
Anchorage Borough AK,2020,Cesarean,2,1344
Unidentified Counties AK,2999,Vaginal,1,5259
Unidentified Counties AK,2999,Cesarean,2,1404
Cochise County AZ,4003,Vaginal,1,1167
Cochise County AZ,4003,Cesarean,2,423
Cochise County AZ,4003,Not Stated,9,28
Coconino County AZ,4005,Vaginal,1,1300
Coconino County AZ,4005,Cesarean,2,341
Maricopa County AZ,4013,Vaginal,1,38610
Maricopa County AZ,4013,Cesarean,2,15155
Maricopa County AZ,4013,Not Stated,9,250
Mohave County AZ,4015,Vaginal,1,1341
Mohave County AZ,4015,Cesarean,2,510
Mohave County AZ,4015,Not Stated,9,33
Pima County AZ,4019,Vaginal,1,8937
Pima County AZ,4019,Cesarean,2,2992
Pima County AZ,4019,Not Stated,9,65
Pinal County AZ,4021,Vaginal,1,3176
Pinal County AZ,4021,Cesarean,2,1371
Pinal County AZ,4021,Not Stated,9,28
Yavapai County AZ,4025,Vaginal,1,1275
Yavapai County AZ,4025,Cesarean,2,542
Yuma County AZ,4027,Vaginal,1,2259
Yuma County AZ,4027,Cesarean,2,864
Yuma County AZ,4027,Not Stated,9,18
Unidentified Counties AZ,4999,Vaginal,1,3734
Unidentified Counties AZ,4999,Cesarean,2,1149
Unidentified Counties AZ,4999,Not Stated,9,17
Benton County AR,5007,Vaginal,1,2193
Benton County AR,5007,Cesarean,2,1034
Benton County AR,5007,Not Stated,9,11
Pulaski County AR,5119,Vaginal,1,3676
Pulaski County AR,5119,Cesarean,2,1820
Pulaski County AR,5119,Not Stated,9,25
Sebastian County AR,5131,Vaginal,1,1013
Sebastian County AR,5131,Cesarean,2,612
Washington County AR,5143,Vaginal,1,2238
Washington County AR,5143,Cesarean,2,1001
Washington County AR,5143,Not Stated,9,20
