Year,Total,White,Black,Hispanic
2013,32.7,32.0,35.8,32.2
2012,32.8,32.3,35.8,32.2
2011,32.8,32.4,35.5,32.0
2010,32.8,32.6,35.5,31.8
2009,32.9,32.8,35.4,31.6
2008,32.3,32.4,34.5,31.0
2007,31.8,32.0,33.9,30.4
2006,31.1,31.3,33.1,29.7
2005,30.3,30.4,32.6,29.0
2004,29.1,29.2,31.0,28.0
2003,27.5,27.6,29.2,26.5
2002,26.1,26.2,27.7,25.2
2001,24.4,24.5,25.9,23.6
2000,22.9,23.1,24.3,22.1
1999,22.0,22.1,23.2,21.2
1998,21.2,21.2,22.4,20.6
1997,20.8,20.9,21.8,20.2
1996,20.7,20.8,21.7,20.0
1995,20.8,21.0,21.8,20.2
1994,21.2,21.5,21.9,20.5
1993,21.8,22.2,22.0,20.9
1992,22.3,22.8,22.2,21.2
1991,22.6,23.2,21.9,21.6
1990,22.7,23.4,22.1,21.2
1989,22.8,23.6,22.2,21.5
