Country Name,2013
Aruba,
Andorra,
Afghanistan,400
Angola,460
Albania,21
Arab World,160
United Arab Emirates,8
Argentina,69
Armenia,29
American Samoa,
Antigua and Barbuda,
Australia,6
Austria,4
Azerbaijan,26
Burundi,740
Belgium,6
Benin,340
Burkina Faso,400
Bangladesh,170
Bulgaria,5
Bahrain,22
"Bahamas, The",37
Bosnia and Herzegovina,8
Belarus,1
Belize,45
Bermuda,
Bolivia,200
Brazil,69
Barbados,52
Brunei Darussalam,27
Bhutan,120
Botswana,170
Central African Republic,880
Canada,11
Central Europe and the Baltics,12
Switzerland,6
Channel Islands,
Chile,22
China,32
Cote d'Ivoire,720
Cameroon,590
"Congo, Rep.",410
Colombia,83
Comoros,350
Cabo Verde,53
Costa Rica,38
Caribbean small states,100
Cuba,80
Curacao,
Cayman Islands,
Cyprus,10
Czech Republic,5
Germany,7
Djibouti,230
Dominica,
Denmark,5
Dominican Republic,100
Algeria,89
East Asia & Pacific (developing only),75
East Asia & Pacific (all income levels),71
Europe & Central Asia (developing only),28
Europe & Central Asia (all income levels),18
Ecuador,87
"Egypt, Arab Rep.",45
Euro area,7
Eritrea,380
Spain,4
Estonia,11
Ethiopia,420
European Union,8
Fragile and conflict affected situations,500
Finland,4
Fiji,59
France,12
Faeroe Islands,
"Micronesia, Fed. Sts.",96
Gabon,240
United Kingdom,8
Georgia,41
Ghana,380
Guinea,650
"Gambia, The",430
Guinea-Bissau,560
Equatorial Guinea,290
Greece,5
Grenada,23
Greenland,
Guatemala,140
Guam,
Guyana,250
High income,17
"Hong Kong SAR, China",
Honduras,120
Heavily indebted poor countries (HIPC),500
Croatia,13
Haiti,380
Hungary,14
Indonesia,190
Isle of Man,
India,190
Not classified,
Ireland,9
"Iran, Islamic Rep.",23
Iraq,67
Iceland,4
Israel,2
Italy,4
Jamaica,80
Jordan,50
Japan,6
Kazakhstan,26
Kenya,400
Kyrgyz Republic,75
Cambodia,170
Kiribati,130
St. Kitts and Nevis,
"Korea, Rep.",27
Kosovo,
Kuwait,14
Latin America & Caribbean (developing only),87
Lao PDR,220
Lebanon,16
Liberia,640
Libya,15
St. Lucia,34
Latin America & Caribbean (all income levels),85
Least developed countries: UN classification,440
Low income,440
Liechtenstein,
Sri Lanka,29
Lower middle income,240
Low & middle income,230
Lesotho,490
Lithuania,11
Luxembourg,11
Latvia,13
"Macao SAR, China",
St. Martin (French part),
Morocco,120
Monaco,
Moldova,21
Madagascar,440
Maldives,31
Middle East & North Africa (all income levels),70
Mexico,49
Marshall Islands,
Middle income,170
"Macedonia, FYR",7
Mali,550
Malta,9
Myanmar,200
Middle East & North Africa (developing only),78
Montenegro,7
Mongolia,68
Northern Mariana Islands,
Mozambique,480
Mauritania,320
Mauritius,73
Malawi,510
Malaysia,29
North America,26
Namibia,130
New Caledonia,
Niger,630
Nigeria,560
Nicaragua,100
Netherlands,6
High income: nonOECD,23
Norway,4
Nepal,190
New Zealand,8
High income: OECD,15
OECD members,21
Oman,11
Other small states,310
Pakistan,170
Panama,85
Peru,89
Philippines,120
Palau,
Papua New Guinea,220
Poland,3
Puerto Rico,20
"Korea, Dem. Rep.",87
Portugal,8
Paraguay,110
Pacific island small states,93
French Polynesia,
Qatar,6
Romania,33
Russian Federation,24
Rwanda,320
South Asia,190
Saudi Arabia,16
Sudan,360
Senegal,320
Singapore,6
Solomon Islands,130
Sierra Leone,1100
El Salvador,69
San Marino,
Somalia,850
Serbia,16
Sub-Saharan Africa (developing only),510
South Sudan,730
Sub-Saharan Africa (all income levels),510
Small states,260
Sao Tome and Principe,210
Suriname,130
Slovak Republic,7
Slovenia,7
Sweden,4
Swaziland,310
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,49
Turks and Caicos Islands,
Chad,980
Togo,450
Thailand,26
Tajikistan,44
Turkmenistan,61
Timor-Leste,270
Tonga,120
Trinidad and Tobago,84
Tunisia,46
Turkey,20
Tuvalu,
Tanzania,410
Uganda,360
Ukraine,23
Upper middle income,57
Uruguay,14
United States,28
Uzbekistan,36
St. Vincent and the Grenadines,45
"Venezuela, RB",110
Virgin Islands (U.S.),
Vietnam,49
Vanuatu,86
West Bank and Gaza,47
World,210
Samoa,58
"Yemen, Rep.",270
South Africa,140
"Congo, Dem. Rep.",730
Zambia,280
Zimbabwe,470
