Country,Neonatal.Mortality.Rate
Aruba,
Andorra,1.4
Afghanistan,36.3
Angola,46.6
Albania,7.4
Arab World,18.03570258
United Arab Emirates,4.8
Argentina,7.1
Armenia,9.5
American Samoa,
Antigua and Barbuda,5
Australia,2.4
Austria,2.3
Azerbaijan,15.9
Burundi,29.8
Belgium,2.3
Benin,26.9
Burkina Faso,26.9
Bangladesh,24.2
Bulgaria,6.4
Bahrain,2.3
"Bahamas, The",6.9
Bosnia and Herzegovina,4.4
Belarus,2.3
Belize,7.9
Bermuda,
Bolivia,17.9
Brazil,8.4
Barbados,8.1
Brunei Darussalam,5.3
Bhutan,18.1
Botswana,24.9
Central African Republic,43
Canada,3.4
Central Europe and the Baltics,4.077202556
Switzerland,3
Channel Islands,
Chile,4.9
China,7.7
Cote d'Ivoire,37.5
Cameroon,28.2
"Congo, Rep.",19.4
Colombia,10.4
Comoros,30.8
Cabo Verde,11.4
Costa Rica,6.4
Caribbean small states,12.04038691
Cuba,2.9
Curacao,
Cayman Islands,
Cyprus,1.8
Czech Republic,2.1
Germany,2.2
Djibouti,31.2
Dominica,8.1
Denmark,2.4
Dominican Republic,16.1
Algeria,13.9
East Asia & Pacific (developing only),10.4
East Asia & Pacific (all income levels),9.879135798
Europe & Central Asia (developing only),10.9
Europe & Central Asia (all income levels),6.136816176
Ecuador,10.5
"Egypt, Arab Rep.",11.8
Euro area,2.354595464
Eritrea,17.7
Spain,2.6
Estonia,1.7
Ethiopia,27.5
European Union,2.731554112
Fragile and conflict affected situations,31.34155575
Finland,1.3
Fiji,10.3
France,2.3
Faeroe Islands,
"Micronesia, Fed. Sts.",15.9
Gabon,22.8
United Kingdom,2.8
Georgia,9.7
Ghana,29.3
Guinea,32.8
"Gambia, The",28.1
Guinea-Bissau,44
Equatorial Guinea,33.2
Greece,2.7
Grenada,5.8
Greenland,
Guatemala,14.8
Guam,
Guyana,20
High income,3.5
"Hong Kong SAR, China",
Honduras,11.6
Heavily indebted poor countries (HIPC),29.29864638
Croatia,2.8
Haiti,24.9
Hungary,3.6
Indonesia,14.4
Isle of Man,
India,29.2
Not classified,
Ireland,2.3
"Iran, Islamic Rep.",10.3
Iraq,18.7
Iceland,0.9
Israel,2
Italy,2.2
Jamaica,10.4
Jordan,11.2
Japan,1
Kazakhstan,8.8
Kenya,26.3
Kyrgyz Republic,13.3
Cambodia,17.6
Kiribati,21.6
St. Kitts and Nevis,7
"Korea, Rep.",1.6
Kosovo,
Kuwait,4.7
Latin America & Caribbean (developing only),9.3
Lao PDR,29.1
Lebanon,5.2
Liberia,25.6
Libya,8.7
St. Lucia,8.8
Latin America & Caribbean (all income levels),9.218644361
Least developed countries: UN classification,29.12560442
Low income,28.2
Liechtenstein,
Sri Lanka,5.9
Lower middle income,27.1
Low & middle income,22
Lesotho,43.9
Lithuania,2.7
Luxembourg,0.9
Latvia,5.2
"Macao SAR, China",
St. Martin (French part),
Morocco,17.9
Monaco,2
Moldova,7.6
Madagascar,21.4
Maldives,6
Middle East & North Africa (all income levels),13.1864153
Mexico,6.5
Marshall Islands,15.9
Middle income,20.3
"Macedonia, FYR",4.4
Mali,40.2
Malta,4
Myanmar,25.5
Middle East & North Africa (developing only),14
Montenegro,3.5
Mongolia,13.2
Northern Mariana Islands,
Mozambique,30.4
Mauritania,34.8
Mauritius,8.8
Malawi,23.2
Malaysia,4.4
North America,3.948672446
Namibia,21.8
New Caledonia,
Niger,27.5
Nigeria,37.4
Nicaragua,11.5
Netherlands,2.6
High income: nonOECD,6.1
Norway,1.6
Nepal,23
New Zealand,3
High income: OECD,2.9
OECD members,4.10982137
Oman,6.6
Other small states,28.53582971
Pakistan,42
Panama,8.4
Peru,8
Philippines,13.7
Palau,8.7
Papua New Guinea,24
Poland,3.1
Puerto Rico,
"Korea, Dem. Rep.",14.9
Portugal,2
Paraguay,12.3
Pacific island small states,11.29039601
French Polynesia,
Qatar,4.3
Romania,7.1
Russian Federation,5.3
Rwanda,20.1
South Asia,30.3
Saudi Arabia,8.8
Sudan,29.9
Senegal,23
Singapore,1.1
Solomon Islands,13.2
Sierra Leone,44.3
El Salvador,6.5
San Marino,1.1
Somalia,46.2
Serbia,4.2
Sub-Saharan Africa (developing only),31.1
South Sudan,39
Sub-Saharan Africa (all income levels),31.14280031
Small states,24.64683836
Sao Tome and Principe,19.4
Suriname,12.3
Slovak Republic,4.2
Slovenia,1.6
Sweden,1.6
Swaziland,29.8
Sint Maarten (Dutch part),
Seychelles,8.9
Syrian Arab Republic,7.9
Turks and Caicos Islands,
Chad,39.8
Togo,30.4
Thailand,7.9
Tajikistan,21.9
Turkmenistan,23.2
Timor-Leste,23.8
Tonga,6.3
Trinidad and Tobago,15.1
Tunisia,9
Turkey,11.2
Tuvalu,13.4
Tanzania,20.7
Uganda,22.1
Ukraine,4.7
Upper middle income,9.7
Uruguay,5.8
United States,4
Uzbekistan,14.1
St. Vincent and the Grenadines,12.1
"Venezuela, RB",8.3
Virgin Islands (U.S.),
Vietnam,12.8
Vanuatu,8.5
West Bank and Gaza,12.2
World,20
Samoa,7.5
"Yemen, Rep.",24.3
South Africa,14.8
"Congo, Dem. Rep.",38.2
Zambia,29.3
Zimbabwe,39.2
