Year,Funding,Type
2001,278.4,Base
2002,328.2,Base
2003,364.9,Base
2004,376.5,Base
2005,400.1,Base
2006,410.6,Base
2007,431.5,Base
2008,479,Base
2009,513.2,Base
2010,527.9,Base
2011,528.2,Base
2012,530.4,Base
2013,495.5,Base
2014,496.3,Base
2015,496.1,Base
2016,534.3,Base
2001,22.9,OCO
2002,16.9,OCO
2003,72.5,OCO
2004,90.8,OCO
2005,75.6,OCO
2006,115.8,OCO
2007,166.3,OCO
2008,186.9,OCO
2009,145.7,OCO
2010,162.4,OCO
2011,158.8,OCO
2012,115.1,OCO
2013,82,OCO
2014,84.9,OCO
2015,64.2,OCO
2016,50.9,OCO
2001,5.8,Other
2002,0,Other
2003,0,Other
2004,0.3,Other
2005,3.2,Other
2006,8.2,Other
2007,3.1,Other
2008,0,Other
2009,7.4,Other
2010,0.7,Other
2011,0,Other
2012,0,Other
2013,0.1,Other
2014,0.2,Other
2015,0.1,Other
2016,0,Other
