Year,Funding,Type
2001,307.1,Total
2002,345.1,Total
2003,437.4,Total
2004,467.6,Total
2005,478.9,Total
2006,534.6,Total
2007,600.9,Total
2008,665.9,Total
2009,666.3,Total
2010,691,Total
2011,687,Total
2012,645.5,Total
2013,577.6,Total
2014,581.4,Total
2015,560.4,Total
2016,585.2,Total
2001,307.1,Inflation
2002,310.6077099,Inflation
2003,318.6754426,Inflation
2004,324.8139349,Inflation
2005,334.4601371,Inflation
2006,347.7894346,Inflation
2007,355.0083015,Inflation
2008,370.2037007,Inflation
2009,370.3141936,Inflation
2010,380.0375654,Inflation
2011,386.2391965,Inflation
2012,397.53753,Inflation
2013,403.8777156,Inflation
2014,410.2547322,Inflation
2015,409.8881765,Inflation
2016,418.08594,Inflation
