,,killer,,,,,,,,,,
,,African American,European American,Police,Hispanic,Asian/Pacific Islander,Native American/Alaska Native,Total,2013 Population,Percent,Percent,Population 
killed,African American,2245,409,332.7,87,27,0,3100.7," 308,745,538.00 ",13,0.13," 40,136,919.94 "
,European American,189,1977,502.6,52,32,0,2752.6,,63,0.63," 194,509,688.94 "
,Hispanic,76,93,193.7,439,10,0,811.7,,17,0.17," 52,486,741.46 "
,Asian/Pacific Islander,20,49,2.8,10,96,0,177.8,,6,0.06," 18,524,732.28 "
,Police,24.3,23.1,0,5.78,0.9,0.7,54.78,,,," 809,000.00 "
,Native American/Alaska Native,0,0,4.2,0,0,0,4.2,,1,0.01," 3,087,455.38 "
,Total,2554.3,2551.1,1036,593.78,165.9,0.7,,,,,
,,killer,,,,,,,,,,
killed,Normalized By Population,African American,European American,Police,Hispanic,Asian/Pacific Islander,Native American/Alaska Native,,,,,
,African American, 13.9834 , 2.5475 , 2.0723 , 0.5419 , 0.1682 , -   , 19.3133 ,,,,
,European American, 0.2429 , 2.5410 , 0.6460 , 0.0668 , 0.0411 , -   , 3.5379 ,,,,
,Hispanic, 0.3620 , 0.4430 , 0.9226 , 2.0910 , 0.0476 , -   , 3.8662 ,,,,
,Asian/Pacific Islander, 0.2699 , 0.6613 , 0.0378 , 0.1350 , 1.2956 , -   , 2.3995 ,,,,
,Police, 7.5093 , 7.1384 , -   , 1.7862 , 0.2781 , 0.2163 , 16.9283 ,,,,
,Native American/Alaska Native, -   , -   , 0.3401 , -   , -   , -   , 0.3401 ,,,,
,, 22.3675 , 13.3312 , 3.6787 , 4.6208 , 1.8306 , 0.2163 ,,,,,
