From,To,Percent of Killings,Race Percent of US Population,Yearly Average Killings
Killed Police,African American,44.36,13,24.3
Killed Police,Asian/Pacific Islander,1.64,6,0.9
Killed Police,European American,42.17,63,23.1
Killed Police,Hispanic,10.55,17,5.78
Killed Police,Native American/Alaska Native,1.28,1,0.7
Killed By Police,African American,32.11,13,332.7
Killed By Police,Asian/Pacific Islander,0.27,6,2.8
Killed By Police,European American,48.51,63,502.6
Killed By Police,Hispanic,18.7,17,193.7
Killed By Police,Native American/Alaska Native,0.41,1,4.2
