Category,Address
Looting,"4401 Reisterstown Rd, Baltimore, MD 21215"
Looting,"221 E Baltimore St, Baltimore, MD"
Looting,"6776 Reisterstown Road, Baltimore, MD 21215"
Looting,"2401 Liberty Heights Avenue, Baltimore, MD 21215"
Looting,"5324 Moravia Road, Baltimore, MD 21206"
Looting,"5200 York Rd, Baltimore, MD 21212"
Looting,"3200 Greenmount Ave, Baltimore, MD 21218"
Looting,"E Monument St & N Collington Ave, Baltimore, MD 21205"
Looting,"E Monument & Patterson Park, Baltimore, MD"
Looting,"4625 Reisterstown Road, Baltimore, MD 21215"
Looting,"3700 W Belvedere Ave, Baltimore, MD 21215"
Looting,"3713 Greenmount Ave, Baltimore, MD 21218"
Looting,"3211 Greenmount Avenue, Baltimore, MD 21218"
Looting,"900 N Caroline St, Baltimore, MD 21205"
Looting,"2236 East Monument Street, Baltimore, MD 21205"
Looting,"Homeland Shopping Center, 5416 York Rd, Baltimore, MD 21212"
Looting,"2050 Fleet Street, Baltimore, MD 21231"
Looting,"423 East North Avenue, Baltimore, MD 21202"
Looting,"1709 Fleet Street # 1, Baltimore, MD 21231"
Looting,"5200 Reisterstown Road, Baltimore, MD 21215"
Looting,"601 Homestead Street, Baltimore, MD"
Looting,"7560 W Cold Spring Ln, Baltimore, MD 21215"
Looting,"Parkside Shopping Center, 5000 Sinclair Ln, Baltimore, MD "
Looting,"Point 31, Baltimore, MD"
Looting,"2020 Harford Road, Baltimore, MD 21218"
Looting,"5416 Belair Rd, Baltimore, MD 21206"
Looting,"5600 The Alameda, Baltimore, MD 21239"
Looting,"900 S Eaton St, Baltimore, MD 21224"
Looting,"3319 Pulaski Highway, Baltimore, MD 21224"
Looting,"N Charles St & W Saratoga St, Baltimore, MD 21201"
Looting,"4020 Eastern Avenue, Baltimore, MD 21224"
Looting,"1358 West North Avenue, Baltimore, MD 21217"
Looting,"3223 Eastern Avenue, Baltimore, MD 21224"
Looting,"1268 East North Avenue, Baltimore, MD 21202"
Looting,"4907 Frankford Avenue, Baltimore, MD 21206"
Looting,"B & E - E Northern & Loch Raven, Baltimore, MD"
Looting,"533 N Gay St, Baltimore, MD 21202"
Looting,"111 W Centre St, Baltimore, MD 21201"
Fire,"W North Ave & N Fulton Ave, Baltimore, MD 21217"
Fire,"Chester & Gay, baltimore, md"
Fire,"North Ave & Smallwood w/B, baltimore, md"
Fire,"Federal St & N Chester St, Baltimore, MD 21213"
Fire,"2509 Pennsylvania Ave, Baltimore, MD 21217"
Fire,"2426 E Monument St, Baltimore, MD 21205"
Fire,"Eastern Ave & S Bouldin St, Baltimore, MD 21224"
Fire,"1829 Pennsylvania Ave, Baltimore, MD 21217"
Fire,"2054 Federal St, Baltimore, MD 21213"
Fire,"2500 W Franklin St, Baltimore, MD 21223"
Fire,"2153 Hollins Ferry Rd, Baltimore, MD 21230"
Fire,"2560 W Franklin St, Baltimore, MD 21223"
Fire,"446 E 22nd St, Baltimore, MD 21218"
Fire,"Baker St & North Mount St, Baltimore, MD 21217"
Fire,"7134 Rolling Bend Rd, Windsor Mill, MD 21244"
Fire,"E 25th St & Barclay St, Baltimore, MD 21218"
Fire,"4201 Shamrock Ave, Baltimore, MD 21206"
Fire,"2401 E Biddle St, Baltimore, MD 21213"
Fire,"1900 N Smallwood St, Baltimore, MD 21216"
Fire,"600 Pitcher St, Baltimore, MD 21217"
Fire,"1901 W North Ave, Baltimore, MD 21217"
Fire,"3400 Clifton Ave, Baltimore, MD 21216"
Fire,"2109 W Pratt St, Baltimore, md"
Fire,"MLK BLVD & SARATOGA St nb, University of Maryland, Baltimore, MD 21201"
Fire,"2413 Frederick Avenue, Baltimore, MD 21223"
Fire,"1700 Harman Ave, Baltimore, MD 21230"
Fire,"N Hilton St & Piedmont Ave, Baltimore, MD 21216"
Fire,"633 N Aisquith St, Baltimore, MD 21202"
Fire,"N Charles St & W 24th St, Baltimore, MD 21218"
Fire,"500 W Preston St, Baltimore, MD 21201"
Fire,"1400 Orleans Street, Baltimore, MD 21231"
Fire,"300 N Martin Luther King Jr Blvd, Baltimore, MD 21201"
Protester Control,"N Milton Ave & McElderry St, Baltimore, MD 21205"
Protester Control,"2300 E Monument St, Baltimore, MD 21205"
Alarms,"4101 Norfolk Avenue, Baltimore, MD 21216"
Alarms,"1613 Abbotston St, Baltimore, MD 21218"
Alarms,"882 Park Avenue, Baltimore, MD 21201"
Alarms,"250 W Chase St, Baltimore, MD 21202"
Alarms,"5100 Liberty Heights Avenue, Baltimore, MD 21207"
Units Requested,"E Monument St & N Milton Ave, Baltimore, MD 21205"
Units Requested,"2800 Chesterfield Ave, Baltimore, MD 21213"
Units Requested,"6700 Pulaski Hwy, Baltimore, MD 21237"
Units Requested,"300 W Lexington St, Baltimore, MD 21201"
Units Requested,"Reisterstown Rd & W Rogers Ave, Baltimore, MD 21215"
Units Requested,"3211 Greenmount Ave, Baltimore, MD 21218"
Units Requested,"N Gay St & E Lanvale St, Baltimore, MD"
Units Requested,"5400 York Rd, Baltimore, MD 21212"
Jacks Condo,"1111 Light St
Baltimore, MD 21230"
