"","Category","Address","Longitude","Latitude"
"1","Looting","4401 Reisterstown Rd, Baltimore, MD 21215",-76.6679621,39.3393976
"2","Looting","221 E Baltimore St, Baltimore, MD",-76.6115363,39.2895066
"3","Looting","6776 Reisterstown Road, Baltimore, MD 21215",-76.7056421,39.3570207
"4","Looting","2401 Liberty Heights Avenue, Baltimore, MD 21215",-76.654697,39.3170829
"5","Looting","5324 Moravia Road, Baltimore, MD 21206",-76.5485538,39.3223282
"6","Looting","5200 York Rd, Baltimore, MD 21212",-76.6105171,39.352236
"7","Looting","3200 Greenmount Ave, Baltimore, MD 21218",-76.6096206,39.327403
"8","Looting","E Monument St & N Collington Ave, Baltimore, MD 21205",-76.5837229,39.2987896
"9","Looting","E Monument & Patterson Park, Baltimore, MD",-104.872758,39.0916586
"10","Looting","4625 Reisterstown Road, Baltimore, MD 21215",-76.672559,39.340935
"11","Looting","3700 W Belvedere Ave, Baltimore, MD 21215",-76.680564,39.346423
"12","Looting","3713 Greenmount Ave, Baltimore, MD 21218",-76.6092674,39.3343232
"13","Looting","3211 Greenmount Avenue, Baltimore, MD 21218",-76.6091107,39.3275796
"14","Looting","900 N Caroline St, Baltimore, MD 21205",-76.598464,39.3007599
"15","Looting","2236 East Monument Street, Baltimore, MD 21205",-76.5854707,39.2989756
"16","Looting","Homeland Shopping Center, 5416 York Rd, Baltimore, MD 21212",-76.6100628,39.3560971
"17","Looting","2050 Fleet Street, Baltimore, MD 21231",-76.5874109,39.2851129
"18","Looting","423 East North Avenue, Baltimore, MD 21202",-76.6100074,39.3110132
"19","Looting","1709 Fleet Street # 1, Baltimore, MD 21231",-76.592606,39.284367
"20","Looting","5200 Reisterstown Road, Baltimore, MD 21215",-76.683804,39.342877
"21","Looting","601 Homestead Street, Baltimore, MD",-76.608344,39.326891
"22","Looting","7560 W Cold Spring Ln, Baltimore, MD 21215",-76.6870323,39.3350218
"23","Looting","Parkside Shopping Center, 5000 Sinclair Ln, Baltimore, MD ",-76.5438036,39.3232287
"24","Looting","Point 31, Baltimore, MD",-76.5290595,39.2966953
"25","Looting","2020 Harford Road, Baltimore, MD 21218",-76.5989391,39.313935
"26","Looting","5416 Belair Rd, Baltimore, MD 21206",-76.551096,39.338841
"27","Looting","5600 The Alameda, Baltimore, MD 21239",-76.5952548,39.3598677
"28","Looting","900 S Eaton St, Baltimore, MD 21224",-76.5650159,39.2826271
"29","Looting","3319 Pulaski Highway, Baltimore, MD 21224",-76.5702512,39.2956555
"30","Looting","N Charles St & W Saratoga St, Baltimore, MD 21201",-76.624156,39.3561528
"31","Looting","4020 Eastern Avenue, Baltimore, MD 21224",-76.5628277,39.2871989
"32","Looting","1358 West North Avenue, Baltimore, MD 21217",-76.6400024,39.3103884
"33","Looting","3223 Eastern Avenue, Baltimore, MD 21224",-76.570534,39.2862633
"34","Looting","1268 East North Avenue, Baltimore, MD 21202",-76.600469,39.312341
"35","Looting","4907 Frankford Avenue, Baltimore, MD 21206",-76.543128,39.3302369
"36","Looting","B & E - E Northern & Loch Raven, Baltimore, MD",49.5279996,37.1171617
"37","Looting","533 N Gay St, Baltimore, MD 21202",-76.6062693,39.2945682
"38","Looting","111 W Centre St, Baltimore, MD 21201",-76.6179134,39.2960799
"39","Fire","W North Ave & N Fulton Ave, Baltimore, MD 21217",-76.6463567,39.3098955
"40","Fire","Chester & Gay, baltimore, md",-2.893075,53.193392
"41","Fire","North Ave & Smallwood w/B, baltimore, md",-94.0231056,41.6823845
"42","Fire","Federal St & N Chester St, Baltimore, MD 21213",-105.025153,39.815549
"43","Fire","2509 Pennsylvania Ave, Baltimore, MD 21217",-76.642602,39.310599
"44","Fire","2426 E Monument St, Baltimore, MD 21205",-76.5828614,39.2989912
"45","Fire","Eastern Ave & S Bouldin St, Baltimore, MD 21224",-71.130511,41.68958
"46","Fire","1829 Pennsylvania Ave, Baltimore, MD 21217",-76.6361017,39.3049965
