Poll,Date,Support,not legal,unsure,Not Support,
Pew,6/1/1996,27,65,8,73,
Pew,3/1/2001,35,57,8,65,
ABC/Wash Post,9/1/2003,37,55,7,62,
ABC/Wash Post,1/1/2004,41,55,4,59,
ABC/Wash Post,2/1/2004,39,55,6,61,
NBC/Wall St. Journal,3/1/2004,30,61,8,69,
ABC/Wash Post,3/1/2004,38,59,3,62,
ABC/Wash Post,8/1/2005,39,58,3,61,
Gallup,5/1/2006,42,56,2,58,
ABC/Wash Post,5/1/2006,36,58,5,63,
Gallup,5/1/2007,46,53,1,54,
Gallup,5/1/2008,40,56,4,60,
Pew,5/1/2008,38,49,13,62,
Pew,5/1/2008,38,49,13,62,
Pew,6/1/2008,40,52,8,60,
CNN/ORC,6/1/2008,44,53,3,56,
Pew,6/1/2008,40,52,8,60,
Pew,8/1/2008,39,52,9,61,
Pew,8/1/2008,39,52,9,61,
CNN/ORC,12/1/2008,44,55,1,56,
Pew,4/1/2009,35,54,11,65,
Quinnipiac,4/1/2009,38,55,7,62,
CNN/ORC,4/1/2009,44,54,2,56,
Pew,4/1/2009,35,54,11,65,
ABC/Wash Post,4/1/2009,49,46,5,51,
Gallup,5/1/2009,40,57,3,60,
Pew,8/1/2009,39,53,8,61,
Pew,8/1/2009,39,53,8,61,
NBC/Wall St. Journal,10/1/2009,41,49,10,59,
ABC/Wash Post,2/1/2010,47,50,3,53,
Gallup,5/1/2010,44,53,3,56,
Pew,7/1/2010,41,48,10,58,
Pew,7/1/2010,41,48,10,58,
Pew,8/1/2010,43,47,10,57,
Pew,8/1/2010,43,47,10,57,
Pew,2/1/2011,45,46,9,55,
Pew,2/1/2011,45,46,9,55,
ABC/Wash Post,3/1/2011,53,44,3,47,
CNN/ORC,4/1/2011,51,47,2,49,
Gallup,5/1/2011,53,45,3,48,
Quinnipiac,7/1/2011,46,48,6,54,
ABC/Wash Post,7/1/2011,51,45,4,49,
CNN/ORC,9/1/2011,53,46,1,47,
Gallup,12/1/2011,48,48,4,52,
NBC/Wall St. Journal,3/1/2012,49,40,11,51,
ABC/Wash Post,3/1/2012,52,43,5,48,
Pew,4/1/2012,47,43,11,54,
Pew,4/1/2012,47,43,11,54,
Gallup,5/1/2012,50,48,2,50,
CNN/ORC,5/1/2012,54,42,3,45,
ABC/Wash Post,5/1/2012,53,39,8,47,
Pew,6/1/2012,48,44,8,52,
Pew,6/1/2012,48,44,9,53,
Pew,6/1/2012,48,44,8,52,
Pew,6/1/2012,48,44,9,53,
CBS,7/1/2012,46,44,10,54,
ABC/Wash Post,7/1/2012,53,42,5,47,
CBS,9/1/2012,51,41,7,48,
Pew,10/1/2012,49,40,11,51,
Pew,10/1/2012,49,40,11,51,
Fox News,10/1/2012,42,44,14,58,
CBS,11/1/2012,51,41,8,49,
Gallup,11/1/2012,53,46,2,48,
NBC/Wall St. Journal,12/1/2012,51,40,9,49,
CBS,2/1/2013,54,39,8,47,
Pew,2/1/2013,54,39,7,46,
Fox News,2/1/2013,46,46,8,54,
CBS,3/1/2013,53,39,8,47,
Pew,3/1/2013,49,44,8,52,
CNN/ORC,3/1/2013,53,44,3,47,
ABC/Wash Post,3/1/2013,58,36,6,42,
Fox News,3/1/2013,49,46,5,51,
