Religion,2003,2013,2003,2013,2003,2013,,,,,,,,
Protestant Mainline,25,22,33,52,33,52,0.25,0.22,0.33,0.52,0.33,0.52, 0.25 , 0.22 
Protestant Evangelical,35,31,12,27,33,52,0.35,0.31,0.12,0.27,0.33,0.52, 0.13 , 0.16 
Catholic,24,23,35,57,33,52,0.24,0.23,0.35,0.57,0.33,0.52, 0.25 , 0.25 
Jewish,2,2,83,83,33,52,0.02,0.02,0.83,0.83,0.33,0.52, 0.05 , 0.03 
Other,4,6,33,52,33,52,0.04,0.06,0.33,0.52,0.33,0.52, 0.04 , 0.06 
Unaffiliated,10,16,65,73,33,52,0.1,0.16,0.65,0.73,0.33,0.52, 0.20 , 0.22 
White,75,72.2,32,55,33,52,0.75,0.722,0.32,0.55,0.33,0.52, 0.73 , 0.76 
African American,12.3,12.6,28,39,33,52,0.123,0.126,0.28,0.39,0.33,0.52, 0.10 , 0.09 
Asain American,3.6,4.8,33,52,33,52,0.036,0.048,0.33,0.52,0.33,0.52, 0.04 , 0.05 
Hispanic American,12.5,16.4,35,53,33,52,0.125,0.164,0.35,0.53,0.33,0.52, 0.13 , 0.17 
Republican,32,26,18,34,33,52,0.32,0.26,0.18,0.34,0.33,0.52, 0.17 , 0.17 
Independent,40,41,39,39,33,52,0.4,0.41,0.39,0.39,0.33,0.52, 0.47 , 0.31 
Democratic,28,31,39,64,33,52,0.28,0.31,0.39,0.64,0.33,0.52, 0.33 , 0.38 
