STATE,Population,Domestic,Gallons Per Day Per Person
Idaho,"1,567,582",263,167.7743174
Utah,"2,763,885",461,166.7942045
Arizona,"6,392,017",939,146.9019873
Wyoming,"563,626",81.9,145.3091234
Hawaii,"1,360,301",196,144.0857575
Nevada,"2,700,551",361,133.6764238
Oregon,"3,831,074",432,112.7621132
Colorado,"5,029,196",559,111.1509673
Washington,"6,724,540",747,111.0856653
California,"37,253,956",4042,108.4985444
Montana,"989,415",105.2,106.3254549
Arkansas,"2,915,918",308,105.627113
Louisiana,"4,533,372",473,104.3373454
Maryland,"5,773,552",592,102.5365321
Mississippi,"2,967,297",297,100.091093
South Carolina,"4,625,364",462,99.88403075
Nebraska,"1,826,341",174,95.27246007
South Dakota,"814,180",75.7,92.97698298
Texas,"25,145,561",2309,91.8253524
Alaska,"710,231",64.2,90.39312562
New Mexico,"2,059,179",186,90.3272615
Missouri,"5,988,927",529,88.32967909
Florida,"18,801,310",1644,87.44071557
Oklahoma,"3,751,351",319,85.03603102
West Virginia,"1,852,994",149,80.41040608
Tennessee,"6,346,105",509,80.20667795
Delaware,"897,934",72,80.18406698
North Dakota,"672,591",53.9,80.13785495
Illinois,"12,830,632",1026,79.96488404
New Jersey,"8,791,894",703,79.96001772
Georgia,"9,687,653",766,79.06971895
Michigan,"9,883,640",779,78.81711596
New York,"19,378,102",1522,78.54226384
Alabama,"4,779,736",365,76.36405023
Indiana,"6,483,802",493,76.03563465
Virginia,"8,001,024",600,74.99040123
Connecticut,"3,574,097",268,74.98397497
Kansas,"2,853,118",209,73.25319177
Rhode Island,"1,052,567",75.6,71.82440643
North Carolina,"9,535,483",667,69.94926214
New Hampshire,"1,316,470",91.6,69.58001322
Kentucky,"4,339,367",290,66.83002383
Ohio,"11,536,504",756,65.53111757
Iowa,"3,046,355",198,64.99570799
Massachusetts,"6,547,629",423,64.60353817
Vermont,"625,741",40.3,64.40364304
U.S. Virgin Islands,"106,405",6.67,62.6850242
Puerto Rico,"3,725,789",232,62.26868993
Minnesota,"5,303,925",327,61.65245549
Pennsylvania,"12,702,379",749,58.9653324
Maine,"1,328,361",72.4,54.50325627
Wisconsin,"5,686,986",289,50.8177794
